0 255 0 0
1 255 16 0
2 255 32 0
3 255 48 0 
4 255 64 0 
5 255 80 0
6 255 96 0 
7 255 112 0
8 255 128 0
9 255 144 0
10 255 160 0
11 255 176 0
12 255 192 0
13 255 208 0
14 255 224 0
15 255 240 0
16 255 255 0
17 224 255 0
18 192 255 0
19 160 255 0
20 128 255 0
21 96 255 0
22 64 255 0
23 32 255 0
24 0 255 0
25 0 255 32
26 0 255 64
27 0 255 96
28 0 255 128
29 0 255 160
30 0 255 192
31 0 255 224
32 0 130 255
33 0 114 255
34 0 104 255
35 10 96 255
36 0 82 255
37 0 74 255
38 0 64 255
39 0 32 255
40 0 0 255
41 32 0 255
42 64 0 255
43 96 0 255
44 128 0 255
45 160 0 255
46 192 0 255
47 224 0 255
48 255 0 255
49 255 32 255
50 255 64 255
51 255 96 255
52 255 128 255
53 255 160 255
54 255 192 255
55 255 224 255
56 255 255 255
57 255 224 224
58 255 255 255
59 255 160 160
60 255 128 128
61 255 96 96
62 255 64 64
63 255 32 32
